symbols,timestamp,average_price
AVAX,2025-05-05/2025-05-11,21.95
AVAX,2025-04-28/2025-05-04,21.1
AVAX,2025-04-21/2025-04-27,21.26
AVAX,2025-04-14/2025-04-20,19.59
AVAX,2025-04-07/2025-04-13,17.84
AVAX,2025-03-31/2025-04-06,17.78
AVAX,2025-03-24/2025-03-30,21.08
AVAX,2025-03-17/2025-03-23,19.15
AVAX,2025-03-10/2025-03-16,17.56
AVAX,2025-03-03/2025-03-09,21.44
AVAX,2025-02-24/2025-03-02,22.7
AVAX,2025-02-17/2025-02-23,24.74
AVAX,2025-02-10/2025-02-16,25.54
AVAX,2025-02-03/2025-02-09,24.99
AVAX,2025-01-27/2025-02-02,31.04
AVAX,2025-01-20/2025-01-26,37.36
AVAX,2025-01-13/2025-01-19,37.3
AVAX,2025-01-06/2025-01-12,40.28
AVAX,2024-12-30/2025-01-05,39.03
AVAX,2024-12-23/2024-12-29,38.8
AVAX,2024-12-16/2024-12-22,42.82
AVAX,2024-12-09/2024-12-15,47.9
AVAX,2024-12-02/2024-12-08,50.4
AVAX,2024-11-25/2024-12-01,43.22
AVAX,2024-11-18/2024-11-24,38.79
AVAX,2024-11-11/2024-11-17,34.13
AVAX,2024-11-04/2024-11-10,27.82
AVAX,2024-10-28/2024-11-03,24.88
AVAX,2024-10-21/2024-10-27,26.66
AVAX,2024-10-14/2024-10-20,28.34
AVAX,2024-10-07/2024-10-13,27.22
AVAX,2024-09-30/2024-10-06,26.51
AVAX,2024-09-23/2024-09-29,28.7
AVAX,2024-09-16/2024-09-22,25.8
AVAX,2024-09-09/2024-09-15,24.26
AVAX,2024-09-02/2024-09-08,22.0
AVAX,2024-08-26/2024-09-01,24.14
AVAX,2024-08-19/2024-08-25,24.19
AVAX,2024-08-12/2024-08-18,20.83
AVAX,2024-08-05/2024-08-11,20.05
AVAX,2024-07-29/2024-08-04,24.72
AVAX,2024-07-22/2024-07-28,29.61
AVAX,2024-07-15/2024-07-21,29.64
AVAX,2024-07-08/2024-07-14,25.98
AVAX,2024-07-01/2024-07-07,25.96
AVAX,2024-06-24/2024-06-30,26.54
AVAX,2024-06-17/2024-06-23,27.24
AVAX,2024-06-10/2024-06-16,31.64
AVAX,2024-06-03/2024-06-09,34.05
AVAX,2024-05-27/2024-06-02,36.86
AVAX,2024-05-20/2024-05-26,38.47
AVAX,2024-05-13/2024-05-19,34.56
AVAX,2024-05-06/2024-05-12,36.33
AVAX,2024-04-29/2024-05-05,34.14
AVAX,2024-04-22/2024-04-28,36.5
AVAX,2024-04-15/2024-04-21,35.34
AVAX,2024-04-08/2024-04-14,40.02
AVAX,2024-04-01/2024-04-07,48.96
AVAX,2024-03-25/2024-03-31,56.25
AVAX,2024-03-18/2024-03-24,57.9
AVAX,2024-03-11/2024-03-17,50.74
AVAX,2024-03-04/2024-03-10,40.0
AVAX,2024-02-26/2024-03-03,40.54
AVAX,2024-02-19/2024-02-25,37.89
AVAX,2024-02-12/2024-02-18,40.99
AVAX,2024-02-05/2024-02-11,37.44
AVAX,2024-01-29/2024-02-04,34.95
AVAX,2024-01-22/2024-01-28,31.98
AVAX,2024-01-15/2024-01-21,34.0
AVAX,2024-01-08/2024-01-14,36.48
AVAX,2024-01-01/2024-01-07,38.25
AVAX,2023-12-25/2023-12-31,43.2
AVAX,2023-12-18/2023-12-24,43.23
AVAX,2023-12-11/2023-12-17,38.47
AVAX,2023-12-04/2023-12-10,29.28
AVAX,2023-11-27/2023-12-03,21.1
AVAX,2023-11-20/2023-11-26,21.08
AVAX,2023-11-13/2023-11-19,20.12
AVAX,2023-11-06/2023-11-12,15.82
AVAX,2023-10-30/2023-11-05,11.78
AVAX,2023-10-23/2023-10-29,10.66
AVAX,2023-10-16/2023-10-22,9.37
AVAX,2023-10-09/2023-10-15,9.48
AVAX,2023-10-02/2023-10-08,10.5
AVAX,2023-09-25/2023-10-01,9.22
AVAX,2023-09-18/2023-09-24,9.02
AVAX,2023-09-11/2023-09-17,9.3
AVAX,2023-09-04/2023-09-10,9.68
AVAX,2023-08-28/2023-09-03,10.48
AVAX,2023-08-21/2023-08-27,10.29
AVAX,2023-08-14/2023-08-20,11.23
AVAX,2023-08-07/2023-08-13,12.5
AVAX,2023-07-31/2023-08-06,12.84
AVAX,2023-07-24/2023-07-30,13.18
AVAX,2023-07-17/2023-07-23,13.95
AVAX,2023-07-10/2023-07-16,14.41
AVAX,2023-07-03/2023-07-09,13.23
AVAX,2023-06-26/2023-07-02,12.88
AVAX,2023-06-19/2023-06-25,12.42
AVAX,2023-06-12/2023-06-18,11.55
AVAX,2023-06-05/2023-06-11,12.45
AVAX,2023-05-29/2023-06-04,14.4
AVAX,2023-05-22/2023-05-28,14.39
AVAX,2023-05-15/2023-05-21,14.76
AVAX,2023-05-08/2023-05-14,15.51
