date,transactions,active_addresses,hashrate,difficulty,miners_revenue,transaction_volume_btc
2015-01-01,59344.0,117529.0,335365.290092025,40640955016.5765,1519572.47532184,80738.37289363
2015-01-02,79287.0,179406.0,323243.653100747,40640955016.5765,1475784.13022053,131111.31167244
2015-01-03,82227.0,205926.0,331324.744428265,40640955016.5765,1586907.13151435,285476.1716487
2015-01-04,85694.0,207255.0,335365.290092025,40640955016.5765,1632202.97088049,289732.76800721
2015-01-05,95585.0,200612.0,339405.835755784,40640955016.5765,1202039.03548908,259995.2544554
2015-01-06,87821.0,179159.0,317182.834605108,40640955016.5765,1361861.14103894,294497.54372138
2015-01-07,89916.0,171674.0,299000.379118191,40640955016.5765,1052470.30059465,227982.46401434
2015-01-08,107132.0,197689.0,272736.832303755,40640955016.5765,1383767.09375183,332357.34812311
2015-01-09,102275.0,202190.0,307081.470445709,40640955016.5765,1085523.88835297,241529.31420645
2015-01-10,104874.0,242729.0,284858.469295033,40640955016.5765,1335502.20243442,213685.50277359
2015-01-11,90630.0,211904.0,296980.106286311,40640955016.5765,1225262.60743366,164598.57687213
2015-01-12,98969.0,186352.0,358478.281006871,43971662056.0896,1092944.81968145,210387.62499904
2015-01-13,102309.0,213182.0,229513.533571473,43971662056.0896,1026145.43398932,421509.98934442
2015-01-14,104765.0,217076.0,330062.319707546,43971662056.0896,930527.16360222,539291.92621267
2015-01-15,120390.0,229796.0,303832.201585092,43971662056.0896,729864.29221988,337588.92364969
2015-01-16,104699.0,209325.0,325690.633353804,43971662056.0896,954891.941835932,306386.06620771
2015-01-17,90499.0,250389.0,299460.51523135,43971662056.0896,762548.336457896,179423.11865346
2015-01-18,83186.0,214984.0,325690.633353804,43971662056.0896,887192.302591338,181955.51452212
2015-01-19,98485.0,207358.0,338805.692415031,43971662056.0896,904302.554752611,179453.96230611
2015-01-20,98925.0,191743.0,262301.18122454,43971662056.0896,672812.407056865,212582.98280608
2015-01-21,96959.0,189969.0,299460.51523135,43971662056.0896,925107.460673729,479047.590728
2015-01-22,93698.0,186251.0,327876.476530675,43971662056.0896,907343.516960094,253942.75809172
2015-01-23,92011.0,178774.0,271044.553932025,43971662056.0896,855770.678613185,226356.61521378
2015-01-24,83557.0,167143.0,264487.024401411,43971662056.0896,785746.001809909,191049.15769784
2015-01-25,86558.0,281521.0,275416.240285767,43971662056.0896,857586.694546591,164165.04156588
2015-01-26,108181.0,216080.0,277602.083462638,43971662056.0896,1002878.96603735,455441.40211678
2015-01-27,99393.0,205787.0,316947.260646319,43971662056.0896,1300992.04050749,298888.88759543
2015-01-28,85232.0,156833.0,324166.338971824,41272873894.697,1611057.54290654,203299.63049872
2015-01-29,90879.0,178726.0,348786.567248165,41272873894.697,1207954.74876182,275545.97726239
2015-01-30,81199.0,161500.0,285184.310867618,41272873894.697,1124241.55980927,244216.00456595
2015-01-31,86312.0,243132.0,318011.281902739,41272873894.697,1195032.17185529,219029.06851291
2015-02-01,78994.0,217101.0,348786.567248165,41272873894.697,1082639.78816864,150865.98337251
2015-02-02,85987.0,184674.0,301597.796385178,41272873894.697,1007399.40785408,184364.77164613
2015-02-03,91793.0,203192.0,276977.568108837,41272873894.697,913622.283780247,244539.71921405
2015-02-04,90814.0,198579.0,330321.39604091,41272873894.697,1055456.89427536,219832.06535679
2015-02-05,86567.0,176000.0,301597.796385178,41272873894.697,1085648.70840532,247968.84149607
2015-02-06,85705.0,201370.0,359044.995696641,41272873894.697,1180053.9936833,215332.05655917
2015-02-07,85699.0,159160.0,352889.938627556,41272873894.697,1098079.80134983,165682.09302859
2015-02-08,82679.0,264578.0,262615.768280972,41272873894.697,862815.305500741,158058.97425252
2015-02-09,104758.0,191360.0,342533.060667745,44455415962.3438,1084298.90857245,240090.76687821
2015-02-10,102975.0,196075.0,331483.607097818,44455415962.3438,937991.725462956,209089.26064106
2015-02-11,97048.0,191881.0,331483.607097818,44455415962.3438,973022.676337063,206641.77442247
2015-02-12,87427.0,198875.0,300545.137102021,44455415962.3438,700112.57856552,154946.08913344
2015-02-13,113660.0,274903.0,309384.699957963,44455415962.3438,871174.467760856,251254.19276797
2015-02-14,98773.0,214118.0,355792.404951658,44455415962.3438,1034325.15626839,193070.70696469
2015-02-15,85267.0,300913.0,296125.35567405,44455415962.3438,1098201.7798575,195069.09662684
2015-02-16,104632.0,227349.0,349162.732809701,44455415962.3438,1063594.97488124,179483.70514188
2015-02-17,102988.0,229875.0,342533.060667745,44455415962.3438,1076991.66602969,188282.87703112
2015-02-18,105719.0,209069.0,355792.404951658,44455415962.3438,1187677.75371608,214394.84146961
2015-02-19,94552.0,180964.0,362422.077093614,44455415962.3438,1155178.61658049,182596.47160507
2015-02-20,98714.0,196964.0,366841.858521585,44455415962.3438,1090408.64549142,180708.40583484
2015-02-21,87827.0,237585.0,304964.918529992,44455415962.3438,961956.919245941,131430.61752838
2015-02-22,84942.0,232004.0,333693.497811803,44455415962.3438,1027780.71451474,114357.61057608
