date,transactions,active_addresses,hashrate,difficulty,miners_revenue,transaction_volume_btc,price_usd,transaction_volume_usd,utxo_count,total_btc,fees_usd,utxo_creation,daily_btc_mined,block_rewards_usd,cost_per_btc,asic_efficiency_jth,daily_electricity_kwh,daily_electricity_cost,electricity_cost_per_btc
2015-01-01,59344.0,117529.0,335365.290092025,40640955016.5765,1519572.47532184,80738.37289363,313.9920000000001,25914595.5476684,15925672.0,13675650.0,2989.225321836,46126.0,,1516583.250000004,357.7658497504315,500.0,4024383.4811042994,201219.17405521497,46.96568577144707
2015-01-02,79287.0,179406.0,323243.653100747,40640955016.5765,1475784.13022053,131111.31167244,314.446,41275152.0276008,15971798.0,13679775.0,4047.3802205366,46126.0,4125.0,1471736.7499999935,357.7658497504315,499.45155393053017,3874669.0761443833,193733.45380721916,46.96568577144707
2015-01-03,82227.0,205926.0,331324.744428265,40640955016.5765,1586907.13151435,285476.1716487,286.572,90356063.08853,16032130.0,13683825.0,4357.1315143481,60332.0,4050.0,1582550.0000000019,391.8289213615679,498.90310786106033,3967174.672956791,198358.73364783954,48.97746509823199
2015-01-04,85694.0,207255.0,335365.290092025,40640955016.5765,1632202.97088049,289732.76800721,260.936,82599914.8311755,16076168.0,13688125.0,7189.9708804911,44038.0,4300.0,1625012.9999999988,379.58208625127673,498.3546617915905,4011140.537290795,200557.02686453974,46.641169038265055
2015-01-05,95585.0,200612.0,339405.835755784,40640955016.5765,1202039.03548908,259995.2544554,273.22,68422951.1150276,16083260.0,13692025.0,4615.535489077,7092.0,3900.0,1197423.500000003,308.2151373048923,497.80621572212067,4055000.032598171,202750.00162990857,51.98717990510476
2015-01-06,87821.0,179159.0,317182.834605108,40640955016.5765,1361861.14103894,294497.54372138,285.3738000000001,80774786.2919001,16080147.0,13695975.0,4175.14103894,-3113.0,3950.0,1357686.0,344.77497241492154,497.25776965265084,3785319.0937882,189265.95468941002,47.91543156693925
2015-01-07,89916.0,171674.0,299000.379118191,40640955016.5765,1052470.30059465,227982.46401434,295.8725,65503921.5606002,16079964.0,13699475.0,3752.3005946492,-183.0,3500.0,1048718.0000000007,300.7058001699,496.709323583181,3564390.625509872,178219.53127549362,50.91986607871246
2015-01-08,107132.0,197689.0,272736.832303755,40640955016.5765,1383767.09375183,332357.34812311,284.4525,99039166.1672055,16093029.0,13703150.0,5563.3437518274,13065.0,3675.0,1378203.7500000026,376.53526360594014,496.16087751371117,3247712.3051073835,162385.6152553692,44.18656197425012
2015-01-09,102275.0,202190.0,307081.470445709,40640955016.5765,1085523.88835297,241529.31420645,289.5738000000001,68712674.598593,16125378.0,13706650.0,4461.8883529662,32349.0,3500.0,1081062.0000000037,310.1496823865628,495.61243144424134,3652641.461257699,182632.07306288497,52.18059230368142
2015-01-10,104874.0,242729.0,284858.469295033,40640955016.5765,1335502.20243442,213685.50277359,274.533,62141881.0615877,16219365.0,13710325.0,5046.4524344234,93987.0,3675.0,1330455.7499999965,363.4019598461006,495.0639853747715,3384556.057846945,169227.80289234724,46.04838173941422
2015-01-11,90630.0,211904.0,296980.106286311,40640955016.5765,1225262.60743366,164598.57687213,267.184,45424269.2594017,16272186.0,13714200.0,4095.357433662,52821.0,3875.0,1221167.249999998,316.19680191836386,494.5155393053017,3524670.658154901,176233.53290774507,45.47962139554711
2015-01-12,98969.0,186352.0,358478.281006871,43971662056.0896,1092944.81968145,210387.62499904,268.353667700943,56737334.7097411,16272534.0,13717750.0,14224.8196814512,348.0,3550.0,1078719.9999999988,307.8717801919577,493.9670932358318,4249835.386971402,212491.76934857012,59.85683643621694
2015-01-13,102309.0,213182.0,229513.533571473,43971662056.0896,1026145.43398932,421509.98934442,221.436,112551597.354747,16264989.0,13720925.0,4793.9339893224,-7545.0,3175.0,1021351.4999999976,323.19541228010075,493.41864716636195,2717910.173788982,135895.5086894491,42.801735020298935
2015-01-14,104765.0,217076.0,330062.319707546,43971662056.0896,930527.16360222,539291.92621267,172.1479,119722807.619213,16266661.0,13724550.0,3677.16360222,1672.0,3625.0,926850.0,256.6971485799228,492.8702010968921,3904269.1653303574,195213.45826651788,53.851988487315275
2015-01-15,120390.0,229796.0,303832.201585092,43971662056.0896,729864.29221988,337588.92364969,210.5559,58065294.8677467,16288914.0,13728325.0,3164.29221988,22253.0,3775.0,726700.0,193.34153436288213,492.3217550274223,3589996.8652372337,179499.8432618617,47.54962735413555
2015-01-16,104699.0,209325.0,325690.633353804,43971662056.0896,954891.941835932,306386.06620771,205.816,64405414.9775227,16322726.0,13731800.0,3691.6918359321,33812.0,3475.0,951200.2499999999,274.78904801034014,491.77330895795245,3843983.051064275,192199.15255321376,55.309108648406834
2015-01-17,90499.0,250389.0,299460.51523135,43971662056.0896,762548.336457896,179423.11865346,199.4914,37343333.6853447,16425726.0,13735250.0,2873.836457895,103000.0,3450.0,759674.500000001,221.02850332112928,491.2248628884826,3530458.812840822,176522.94064204113,51.16606975131627
2015-01-18,83186.0,214984.0,325690.633353804,43971662056.0896,887192.302591338,181955.51452212,208.9892,36349253.1360839,16475738.0,13739075.0,3210.0525913377,50012.0,3825.0,883982.2500000003,231.94570002387923,490.6764168190128,3835409.1111734253,191770.45555867127,50.136066812724515
2015-01-19,98485.0,207358.0,338805.692415031,43971662056.0896,904302.554752611,179453.96230611,214.545,38040650.9296492,16487695.0,13742675.0,3387.554752611,11957.0,3600.0,900915.0,251.1951540979475,490.12797074954295,3985395.5160425515,199269.77580212758,55.352715500590996
2015-01-20,98925.0,191743.0,262301.18122454,43971662056.0896,672812.407056865,212582.98280608,210.5137,45920050.1159413,16500153.0,13745625.0,3181.4070568652,12458.0,2950.0,669630.9999999999,228.07200239215766,489.5795246800731,3082014.903046368,154100.7451523184,52.23754072959946
2015-01-21,96959.0,189969.0,299460.51523135,43971662056.0896,925107.460673729,479047.590728,224.0451,100940117.842297,16509682.0,13749350.0,3251.2106737291,9529.0,3725.0,921856.2499999999,248.3509961540212,489.0310786106033,3514691.9703569775,175734.59851784888,47.17707342761044
2015-01-22,93698.0,186251.0,327876.476530675,43971662056.0896,907343.516960094,253942.75809172,232.0423000000001,57033004.0398194,16496425.0,13752725.0,3368.7669600934,-13257.0,3375.0,903974.7500000006,268.84252354373155,488.48263254113346,3843887.145696367,192194.35728481837,56.94647623253878
2015-01-23,92011.0,178774.0,271044.553932025,43971662056.0896,855770.678613185,226356.61521378,232.898,52856533.2185698,16510490.0,13755825.0,3459.1786131851,14065.0,3100.0,852311.4999999999,276.0550576171564,487.9341864716636,3174045.6940895417,158702.2847044771,51.194285388541
2015-01-24,83557.0,167143.0,264487.024401411,43971662056.0896,785746.001809909,191049.15769784,248.096,44650098.6455622,16519854.0,13758975.0,2817.5018099086,9364.0,3150.0,782928.5000000005,249.44317517774888,487.3857404021938,3093772.9011517153,154688.64505758576,49.107506367487545
2015-01-25,86558.0,281521.0,275416.240285767,43971662056.0896,857586.694546591,164165.04156588,253.8388999999999,40929628.1632052,16652283.0,13762100.0,3665.6945465904,132429.0,3125.0,853921.0000000006,274.4277422549091,486.83729433272396,3217989.53366434,160899.476683217,51.48783253862945
2015-01-26,108181.0,216080.0,277602.083462638,43971662056.0896,1002878.96603735,455441.40211678,271.2882000000001,115827857.38634,16644156.0,13765275.0,4672.9660373528,-8127.0,3175.0,998205.9999999972,315.8673908779055,486.2888482632541,3239875.1386206234,161993.75693103118,51.021655726309035
2015-01-27,99393.0,205787.0,316947.260646319,43971662056.0896,1300992.04050749,298888.88759543,259.2356,82024077.4228138,16640467.0,13769000.0,4310.2905074866,-3689.0,3725.0,1296681.7500000035,349.2596081899302,485.7404021937843,3694898.1566534685,184744.90783267343,49.59594841145596
2015-01-28,85232.0,156833.0,324166.338971824,41272873894.697,1611057.54290654,203299.63049872,263.52,53573518.6290227,16630386.0,13773100.0,3585.5429065344,-10081.0,4100.0,1607472.0000000056,392.94086412354636,485.19195612431446,3774789.602769525,188739.48013847624,46.03401954596981
2015-01-29,90879.0,178726.0,348786.567248165,41272873894.697,1207954.74876182,275545.97726239,232.5329422304941,65083959.8293765,16652453.0,13777200.0,3334.748761816,22067.0,4100.0,1204620.000000004,294.6231094541024,484.6435100548446,4056891.509067139,202844.57545335696,49.47428669594072
2015-01-30,81199.0,161500.0,285184.310867618,41272873894.697,1124241.55980927,244216.00456595,228.6354,57632534.9175185,16675209.0,13780650.0,3289.0598092733,22756.0,3450.0,1120952.4999999967,325.8671187852957,484.0950639853748,3313351.6132100294,165667.5806605015,48.01958859724681
2015-01-31,86312.0,243132.0,318011.281902739,41272873894.697,1195032.17185529,219029.06851291,218.0233,49713027.6803752,16758172.0,13784800.0,3439.6718552916,82963.0,4150.0,1191592.4999999984,287.9595594832024,483.54661791590496,3690558.7157561015,184527.9357878051,44.464562840434965
2015-02-01,78994.0,217101.0,348786.567248165,41272873894.697,1082639.78816864,150865.98337251,226.2697,33077366.8544228,16807794.0,13788675.0,2833.53816864,49622.0,3875.0,1079806.25,279.3909130757781,482.99817184643507,4043118.5842909776,202155.9292145489,52.16927205536746
2015-02-02,85987.0,184674.0,301597.796385178,41272873894.697,1007399.40785408,184364.77164613,240.0193,41847115.8682386,16808068.0,13792650.0,3012.9078540834,274.0,3975.0,1004386.4999999966,253.4338132966239,482.44972577696524,3492138.579863187,174606.92899315935,43.92627144481996
2015-02-03,91793.0,203192.0,276977.568108837,41272873894.697,913622.283780247,244539.71921405,226.0119,58193116.9813675,16814783.0,13795825.0,3387.0337802465,6715.0,3175.0,910235.2500000005,287.7550500095266,481.9012797074954,3203420.268526044,160171.01342630223,50.44756328387472
2015-02-04,90814.0,198579.0,330321.39604091,41272873894.697,1055456.89427536,219832.06535679,225.3083,50018389.8306304,16834074.0,13799800.0,3130.6442753549,19291.0,3975.0,1052326.2500000051,265.52374698751197,481.3528336380256,3816027.3598934524,190801.36799467262,48.00034414960317
2015-02-05,86567.0,176000.0,301597.796385178,41272873894.697,1085648.70840532,247968.84149607,216.9136,56217016.055574,16828570.0,13803775.0,3108.4584053193,-5504.0,3975.0,1082540.2500000007,273.1191719258667,480.80438756855574,3480229.0507920356,174011.4525396018,43.77646604769856
2015-02-06,85705.0,201370.0,359044.995696641,41272873894.697,1180053.9936833,215332.05655917,222.4872,46722749.6322087,16875796.0,13808200.0,2937.4936833,47226.0,4425.0,1177116.5,266.67886862899434,480.2559414990859,4138403.8187718135,206920.19093859068,46.76162507086795
2015-02-07,85699.0,159160.0,352889.938627556,41272873894.697,1098079.80134983,165682.09302859,227.2050999999999,36841070.2058373,16880114.0,13812175.0,2956.8013498356,4318.0,3975.0,1095122.9999999944,276.24649090561763,479.7074954296161,4062814.76691206,203140.738345603,51.104588263044775
2015-02-08,82679.0,264578.0,262615.768280972,41272873894.697,862815.305500741,158058.97425252,222.9061,36242922.7961028,17022670.0,13815475.0,2940.305500741,142556.0,3300.0,859875.0,261.459183485073,479.15904936014624,3020033.32503588,151001.666251794,45.758080682361815
2015-02-09,104758.0,191360.0,342533.060667745,44455415962.3438,1084298.90857245,240090.76687821,220.0922,53763525.4270375,17018286.0,13819500.0,3836.6585724453,-4384.0,4025.0,1080462.2500000047,269.3910331857019,478.6106032906764,3934558.915516591,196727.94577582958,48.87650826728685
2015-02-10,102975.0,196075.0,331483.607097818,44455415962.3438,937991.725462956,209089.26064106,220.6493,45985001.0927883,17025092.0,13823100.0,3289.2254629557,6806.0,3600.0,934702.5000000003,260.5532570730433,478.0621572212066,3803274.439023594,190163.7219511797,52.823256097549915
2015-02-11,97048.0,191881.0,331483.607097818,44455415962.3438,973022.676337063,206641.77442247,219.0956,45535581.4117355,17035085.0,13827050.0,3438.6763370624,9993.0,3950.0,969584.0000000006,246.3348547688767,477.51371115173674,3798911.2178698382,189945.56089349193,48.087483770504285
2015-02-12,87427.0,198875.0,300545.137102021,44455415962.3438,700112.57856552,154946.08913344,222.0401587875259,34026161.1737034,17110943.0,13830025.0,2882.57856552,75858.0,2975.0,697230.0,235.3319591816874,476.9652650822669,3440390.1836892404,172019.50918446202,57.82168375948303
2015-02-13,113660.0,274903.0,309384.699957963,44455415962.3438,871174.467760856,251254.19276797,235.6774,55861344.6781028,17286450.0,13833675.0,4087.4677608555,175507.0,3650.0,867087.0000000006,238.67793637283728,476.4168190127971,3537505.7905248334,176875.2895262417,48.45898343184704
2015-02-14,98773.0,214118.0,355792.404951658,44455415962.3438,1034325.15626839,193070.70696469,259.0086000000001,45738450.4799351,17288810.0,13837675.0,3810.156268393,2360.0,4000.0,1030514.999999997,258.5812890670975,475.86837294332724,4063448.4683985333,203172.42341992666,50.79310585498167
2015-02-15,85267.0,300913.0,296125.35567405,44455415962.3438,1098201.7798575,195069.09662684,232.9962,50230292.3814113,17412752.0,13841175.0,3826.7798575,123942.0,3500.0,1094375.0,313.77193710214283,475.3199268738574,3378102.777707627,168905.13888538137,48.258611110108966
2015-02-16,104632.0,227349.0,349162.732809701,44455415962.3438,1063594.97488124,179483.70514188,235.9199,42031494.0701255,17453243.0,13845100.0,3930.4748812392,40491.0,3925.0,1059664.5000000007,270.9796114347108,474.7714808043876,3978540.1847464438,198927.0092373222,50.682040570018394
2015-02-17,102988.0,229875.0,342533.060667745,44455415962.3438,1076991.66602969,188282.87703112,242.4568,44152334.6637976,17550975.0,13848825.0,4154.166029685,97732.0,3725.0,1072837.5000000051,289.12527947105775,474.22303473491775,3898489.6206455454,194924.48103227728,52.32871974020867
2015-02-18,105719.0,209069.0,355792.404951658,44455415962.3438,1187677.75371608,214394.84146961,234.6238,52588910.6640806,17553825.0,13853000.0,4153.5037160809,2850.0,4175.0,1183524.249999999,284.47371346492935,473.6745886654479,4044715.7055784096,202235.7852789205,48.439709048843234
2015-02-19,94552.0,180964.0,362422.077093614,44455415962.3438,1155178.61658049,182596.47160507,240.2988,43355706.2179078,17560558.0,13857150.0,3594.6165804864,6733.0,4150.0,1151584.0000000037,278.3562931519253,473.1261425959781,4115312.62384617,205765.6311923085,49.58207980537554
